Current process id = 4372
create process: getpid(): 4372, getCurrentProcessId(): 4372
In Child: PID: 5624 getpid(): 4372
Current process id = 5624
fork: getpid(): 5624, getCurrentProcessId(): 5624
In Child: PID: 4364 getpid(): 5624
Current process id = 4364
In Child: PID: 3832 getpid(): 5624
Current process id = 3832
test2: getpid(): 4364, getCurrentProcessId(): 4364
test: getpid(): 3832, getCurrentProcessId(): 3832
Hello World!
Procedure,Image,Section Name,Section Size,Offset,Calls,Pid,Size
RtlGetNtProductType,ntdll.dll,.text,1222784,601b0,1,4364,1600
RtlGetVersion,ntdll.dll,.text,1222784,600a0,2,4364,272
SbSelectProcedure,ntdll.dll,.text,1222784,5f970,1,4364,1840
RtlTryEnterCriticalSection,ntdll.dll,.text,1222784,5d280,1,4364,2688
RtlSizeHeap,ntdll.dll,.text,1222784,5b4a0,6,4364,544
RtlDecodePointer,ntdll.dll,.text,1222784,59e60,34,4364,96
RtlNtStatusToDosError,ntdll.dll,.text,1222784,569b0,15,4364,384
RtlRestoreLastWin32Error,ntdll.dll,.text,1222784,56980,464,4364,48
RtlAppendUnicodeStringToString,ntdll.dll,.text,1222784,48650,3,4364,384
LdrGetDllHandleEx,ntdll.dll,.text,1222784,47040,2,4364,5648
LdrGetDllHandle,ntdll.dll,.text,1222784,47010,2,4364,48
RtlFormatCurrentUserKeyPath,ntdll.dll,.text,1222784,448f0,1,4364,320
RtlLengthSidAsUnicodeString,ntdll.dll,.text,1222784,44890,1,4364,96
RtlValidSid,ntdll.dll,.text,1222784,43ab0,2,4364,64
RtlConvertSidToUnicodeString,ntdll.dll,.text,1222784,403b0,1,4364,7568
LdrpResGetResourceDirectory,ntdll.dll,.text,1222784,3fc70,2,4364,1088
RtlCopyUnicodeString,ntdll.dll,.text,1222784,3e9c0,2,4364,1200
RtlInitUnicodeString,ntdll.dll,.text,1222784,3d4f0,18,4364,432
RtlRbInsertNodeEx,ntdll.dll,.text,1222784,3acf0,2,4364,1408
RtlCompareUnicodeStrings,ntdll.dll,.text,1222784,38e80,173,4364,1104
RtlImageNtHeaderEx,ntdll.dll,.text,1222784,384e0,159,4364,1888
RtlImageDirectoryEntryToData,ntdll.dll,.text,1222784,37ad0,12,4364,2576
RtlImageNtHeader,ntdll.dll,.text,1222784,376d0,5,4364,1024
RtlReleaseSRWLockShared,ntdll.dll,.text,1222784,375f0,103,4364,224
RtlLeaveCriticalSection,ntdll.dll,.text,1222784,372a0,215,4364,848
RtlEnterCriticalSection,ntdll.dll,.text,1222784,37040,214,4364,608
RtlAcquireSRWLockShared,ntdll.dll,.text,1222784,36ac0,103,4364,384
RtlUnlockHeap,ntdll.dll,.text,1222784,36570,1,4364,1360
RtlLockHeap,ntdll.dll,.text,1222784,364e0,1,4364,144
LdrGetProcedureAddressForCaller,ntdll.dll,.text,1222784,35ff0,3,4364,1264
LdrResolveDelayLoadedAPI,ntdll.dll,.text,1222784,359c0,86,4364,1584
RtlAcquireSRWLockExclusive,ntdll.dll,.text,1222784,35530,62,4364,1168
RtlFreeUnicodeString,ntdll.dll,.text,1222784,32030,50,4364,13568
RtlDeleteBoundaryDescriptor,ntdll.dll,.text,1222784,32010,48,4364,32
RtlFreeHeap,ntdll.dll,.text,1222784,30060,85,4364,8112
RtlAllocateHeap,ntdll.dll,.text,1222784,2b620,136,4364,19008
RtlMultiByteToUnicodeN,ntdll.dll,.text,1222784,2b310,92,4364,784
RtlAnsiStringToUnicodeString,ntdll.dll,.text,1222784,2b170,92,4364,288
RtlReAllocateHeap,ntdll.dll,.text,1222784,29a50,1,4364,5920
RtlEqualUnicodeString,ntdll.dll,.text,1222784,265d0,34,4364,13440
RtlInitUnicodeStringEx,ntdll.dll,.text,1222784,25db0,6,4364,80
RtlReleaseSRWLockExclusive,ntdll.dll,.text,1222784,25d70,62,4364,64
RtlAppendUnicodeToString,ntdll.dll,.text,1222784,25b00,3,4364,624
RtlHashUnicodeString,ntdll.dll,.text,1222784,25310,7,4364,1408
RtlFindActivationContextSectionString,ntdll.dll,.text,1222784,24ac0,6,4364,2128
RtlDosApplyFileIsolationRedirection_Ustr,ntdll.dll,.text,1222784,242d0,6,4364,2032
RtlQueryInformationActivationContext,ntdll.dll,.text,1222784,231d0,1,4364,1696
RtlFindCharInUnicodeString,ntdll.dll,.text,1222784,22c00,2,4364,624
RtlInitAnsiString,ntdll.dll,.text,1222784,217e0,133,4364,320
RtlPcToFileHeader,ntdll.dll,.text,1222784,20fd0,1,4364,432
RtlCreateHeap,ntdll.dll,.text,1222784,1f860,1,4364,2976
RtlActivateActivationContextUnsafeFast,ntdll.dll,.text,1222784,1dbe0,6,4364,400
RtlDeactivateActivationContextUnsafeFast,ntdll.dll,.text,1222784,1da90,6,4364,336
LdrShutdownProcess,ntdll.dll,.text,1222784,1cfc0,1,4364,1600
RtlInitializeCriticalSectionEx,ntdll.dll,.text,1222784,1c780,18,4364,592
RtlRunOnceComplete,ntdll.dll,.text,1222784,1ba20,1,4364,2368
RtlRunOnceBeginInitialize,ntdll.dll,.text,1222784,1b940,1,4364,224
RtlRunOnceExecuteOnce,ntdll.dll,.text,1222784,1b860,1,4364,224
RtlQueryResourcePolicy,ntdll.dll,.text,1222784,1b150,1,4364,208
RtlProcessFlsData,ntdll.dll,.text,1222784,19ed0,1,4364,400
RtlExitUserProcess,ntdll.dll,.text,1222784,19680,1,4364,176
RtlReportSilentProcessExit,ntdll.dll,.text,1222784,19510,1,4364,368
RtlSetBits,ntdll.dll,.text,1222784,16f90,2,4364,176
RtlFindClearBitsAndSet,ntdll.dll,.text,1222784,16d70,2,4364,544
RtlFlsAlloc,ntdll.dll,.text,1222784,16b70,1,4364,512
RtlAllocateHandle,ntdll.dll,.text,1222784,16030,14,4364,608
RtlIsValidHandle,ntdll.dll,.text,1222784,15f70,14,4364,192
RtlIsValidIndexHandle,ntdll.dll,.text,1222784,15f30,14,4364,64
RtlGetIntegerAtom,ntdll.dll,.text,1222784,15e90,28,4364,160
RtlLookupAtomInAtomTable,ntdll.dll,.text,1222784,15c20,14,4364,624
RtlAddAtomToAtomTable,ntdll.dll,.text,1222784,15a10,14,4364,528
RtlInitializeHandleTable,ntdll.dll,.text,1222784,159b0,1,4364,96
RtlCreateAtomTable,ntdll.dll,.text,1222784,158d0,1,4364,224
GetAtomNameA,KERNEL32.DLL,.text,1142624,d7f50,14,4364,48
AddAtomA,KERNEL32.DLL,.text,1142624,b3890,14,4364,32
CreateSemaphoreA,KERNEL32.DLL,.text,1142624,c4a0,5,4364,48
CreateSemaphoreExA,KERNEL32.DLL,.text,1142624,c420,5,4364,128
UTUnRegister,KERNEL32.DLL,.text,1142624,8ed0,1,4364,1312
FatalExit,KERNEL32.DLL,.text,1142624,5160,1,4364,16
SetUnhandledExceptionFilter,KERNEL32.DLL,.text,1142624,47d0,1,4364,144
GetStartupInfoW,KERNEL32.DLL,.text,1142624,4770,1,4364,32
TermsrvGetWindowsDirectoryW,KERNEL32.DLL,.text,1142624,4730,1,4364,64
FindAtomA,KERNEL32.DLL,.text,1142624,41f0,14,4364,96
CreateMutexA,KERNEL32.DLL,.text,1142624,2b60,14,4364,16
DuplicateHandle,KERNEL32.DLL,.text,1142624,2ab0,1,4364,16
GetCurrentProcess,KERNEL32.DLL,.text,1142624,1f80,2,4364,1648
CreateEventA,KERNEL32.DLL,.text,1142624,18d0,1,4364,32
TlsAlloc,KERNEL32.DLL,.text,1142624,1750,1,4364,16
GetModuleHandleW,KERNEL32.DLL,.text,1142624,1630,1,4364,32
GetProcAddress,KERNEL32.DLL,.text,1142624,1610,1,4364,32
MultiByteToWideChar,KERNEL32.DLL,.text,1142624,1540,256,4364,16
WideCharToMultiByte,KERNEL32.DLL,.text,1142624,1530,128,4364,16
BaseSetLastNTError,KERNEL32.DLL,.text,1142624,1460,14,4364,32
BaseThreadInitThunk,KERNEL32.DLL,.text,1142624,13b0,2,4364,96
GetThreadPriority,KERNEL32.DLL,.text,1142624,1390,1,4364,32
